,0,1
0,Bayreuth,Chemnitz
1,Nuern...,Bayreuth
2,Braun...,Magde...
3,Braun...,Hamburg
4,Braun...,Hannover
5,Bremen,Breme...
6,Dortmund,Essen
7,Berlin,Dresden
8,Essen,Duess...
9,Kiel,Flens...
10,Konstanz,Freiburg
11,Fulda,Kassel
12,Berlin,Greif...
13,Hannover,Bremen
14,Karls...,Mannheim
15,Karls...,Kaise...
16,Karls...,Saarb...
17,Stutt...,Karls...
18,Kassel,Dortmund
19,Kassel,Braun...
20,Konstanz,Kempten
21,Hamburg,Kiel
22,Duess...,Koeln
23,Stutt...,Konstanz
24,Berlin,Leipzig
25,Magde...,Berlin
26,Wesel,Norden
27,Wesel,Olden...
28,Regen...,Passau
29,Nuern...,Regen...
30,Saarb...,Trier
31,Dortmund,Siegen
32,Siegen,Koblenz
33,Koblenz,Trier
34,Essen,Wesel
35,Wesel,Aachen
36,Fulda,Wuerz...
37,Wuerz...,Stutt...
38,Wuerz...,Nuern...
