,0,1
0,Muenchen,Augsburg
1,Nuern...,Bayreuth
2,Erfurt,Chemnitz
3,Frank...,Darms...
4,Dortmund,Essen
5,Berlin,Dresden
6,Essen,Duess...
7,Leipzig,Erfurt
8,Dresden,Erfurt
9,Karls...,Freiburg
10,Kassel,Fulda
11,Fulda,Frank...
12,Fulda,Giessen
13,Greif...,Berlin
14,Karls...,Mannheim
15,Karls...,Kaise...
16,Karls...,Saarb...
17,Stutt...,Karls...
18,Kassel,Dortmund
19,Erfurt,Kassel
20,Muenchen,Kempten
21,Duess...,Koeln
22,Stutt...,Konstanz
23,Berlin,Leipzig
24,Berlin,Magde...
25,Nuern...,Muenchen
26,Muenchen,Passau
27,Nuern...,Regen...
28,Saarb...,Trier
29,Stutt...,Ulm
30,Essen,Wesel
31,Wesel,Aachen
32,Erfurt,Wuerz...
33,Wuerz...,Stutt...
34,Wuerz...,Nuern...
