,0,1
0,Augsburg,Muenchen
1,Chemnitz,Bayreuth
2,Hamburg,Braun...
3,Erfurt,Chemnitz
4,Dresden,Berlin
5,Erfurt,Leipzig
6,Erfurt,Dresden
7,Karls...,Freiburg
8,Kassel,Giessen
9,Berlin,Greif...
10,Kaise...,Koblenz
11,Kaise...,Darms...
12,Karls...,Mannheim
13,Karls...,Kaise...
14,Karls...,Saarb...
15,Stutt...,Karls...
16,Kassel,Erfurt
17,Braun...,Kassel
18,Muenchen,Kempten
19,Koblenz,Koeln
20,Stutt...,Konstanz
21,Muenchen,Passau
22,Muenchen,Regen...
23,Saarb...,Trier
24,Trier,Aachen
25,Stutt...,Ulm
26,Erfurt,Wuerz...
27,Wuerz...,Stutt...
28,Wuerz...,Augsburg
