,0,1
0,Nuern...,Bayreuth
1,Hannover,Braun...
2,Erfurt,Chemnitz
3,Dortmund,Essen
4,Essen,Duess...
5,Erfurt,Leipzig
6,Erfurt,Dresden
7,Karls...,Freiburg
8,Kassel,Giessen
9,Berlin,Greif...
10,Karls...,Mannheim
11,Karls...,Saarb...
12,Stutt...,Karls...
13,Kassel,Dortmund
14,Kassel,Erfurt
15,Braun...,Kassel
16,Konstanz,Kempten
17,Stutt...,Konstanz
18,Leipzig,Berlin
19,Dortmund,Muenster
20,Wesel,Norden
21,Regen...,Passau
22,Nuern...,Regen...
23,Dortmund,Siegen
24,Stutt...,Ulm
25,Essen,Wesel
26,Wesel,Aachen
27,Erfurt,Wuerz...
28,Wuerz...,Stutt...
29,Wuerz...,Nuern...
