,0,1
0,Koeln,Aachen
1,Nuern...,Bayreuth
2,Biele...,Muenster
3,Siegen,Biele...
4,Biele...,Hannover
5,Hannover,Braun...
6,Bremen,Breme...
7,Breme...,Flens...
8,Erfurt,Chemnitz
9,Dortmund,Essen
10,Erfurt,Leipzig
11,Erfurt,Dresden
12,Fulda,Kassel
13,Frank...,Fulda
14,Fulda,Frank...
15,Giessen,Fulda
16,Siegen,Giessen
17,Schwerin,Greif...
18,Hamburg,Schwerin
19,Hannover,Hamburg
20,Hannover,Bremen
21,Kaise...,Koblenz
22,Hamburg,Kiel
23,Koblenz,Koeln
24,Koeln,Duess...
25,Schwerin,Magde...
26,Olden...,Norden
27,Olden...,Wesel
28,Bremen,Olden...
29,Hannover,Osnab...
30,Regen...,Passau
31,Nuern...,Regen...
32,Schwerin,Berlin
33,Siegen,Dortmund
34,Koblenz,Siegen
35,Koblenz,Trier
36,Wuerz...,Erfurt
37,Fulda,Wuerz...
38,Wuerz...,Nuern...
