,0,1
0,Nuern...,Bayreuth
1,Biele...,Muenster
2,Siegen,Biele...
3,Biele...,Hannover
4,Hamburg,Braun...
5,Bremen,Breme...
6,Erfurt,Chemnitz
7,Frank...,Darms...
8,Dortmund,Essen
9,Erfurt,Leipzig
10,Erfurt,Dresden
11,Kiel,Flens...
12,Koblenz,Frank...
13,Karls...,Freiburg
14,Frank...,Fulda
15,Giessen,Fulda
16,Fulda,Giessen
17,Siegen,Giessen
18,Frank...,Giessen
19,Schwerin,Greif...
20,Hamburg,Schwerin
21,Hannover,Hamburg
22,Hannover,Bremen
23,Koblenz,Kaise...
24,Karls...,Mannheim
25,Karls...,Saarb...
26,Stutt...,Karls...
27,Erfurt,Kassel
28,Muenchen,Kempten
29,Hamburg,Kiel
30,Koeln,Koblenz
31,Stutt...,Konstanz
32,Schwerin,Magde...
33,Olden...,Norden
34,Nuern...,Muenchen
35,Bremen,Olden...
36,Hannover,Osnab...
37,Muenchen,Passau
38,Nuern...,Regen...
39,Saarb...,Trier
40,Schwerin,Berlin
41,Siegen,Dortmund
42,Koblenz,Siegen
43,Stutt...,Ulm
44,Wuerz...,Erfurt
45,Fulda,Wuerz...
46,Wuerz...,Stutt...
47,Wuerz...,Augsburg
48,Wuerz...,Nuern...
