,0,1
0,Augsburg,Ulm
1,Muenchen,Augsburg
2,Leipzig,Bayreuth
3,Braun...,Magde...
4,Braun...,Hamburg
5,Braun...,Hannover
6,Braun...,Biele...
7,Bremen,Breme...
8,Erfurt,Chemnitz
9,Frank...,Darms...
10,Dortmund,Essen
11,Essen,Duess...
12,Erfurt,Leipzig
13,Erfurt,Dresden
14,Kiel,Flens...
15,Frank...,Koblenz
16,Karls...,Freiburg
17,Fulda,Kassel
18,Fulda,Frank...
19,Fulda,Giessen
20,Schwerin,Greif...
21,Hamburg,Schwerin
22,Hannover,Bremen
23,Koblenz,Kaise...
24,Karls...,Mannheim
25,Karls...,Saarb...
26,Stutt...,Karls...
27,Kassel,Dortmund
28,Kassel,Braun...
29,Hamburg,Kiel
30,Koblenz,Koeln
31,Stutt...,Konstanz
32,Dortmund,Muenster
33,Wesel,Norden
34,Muenchen,Nuern...
35,Bremen,Olden...
36,Hannover,Osnab...
37,Muenchen,Passau
38,Schwerin,Berlin
39,Dortmund,Siegen
40,Koblenz,Trier
41,Essen,Wesel
42,Wesel,Aachen
43,Wuerz...,Erfurt
44,Wuerz...,Fulda
45,Wuerz...,Stutt...
46,Augsburg,Wuerz...
47,Nuern...,Wuerz...
