,0,1
0,Augsburg,Muenchen
1,Chemnitz,Bayreuth
2,Erfurt,Chemnitz
3,Dresden,Berlin
4,Erfurt,Leipzig
5,Erfurt,Dresden
6,Karls...,Freiburg
7,Freiburg,Konstanz
8,Kassel,Giessen
9,Berlin,Greif...
10,Kaise...,Koblenz
11,Kaise...,Darms...
12,Karls...,Mannheim
13,Karls...,Kaise...
14,Karls...,Saarb...
15,Stutt...,Karls...
16,Dortmund,Kassel
17,Kassel,Erfurt
18,Muenchen,Kempten
19,Koblenz,Koeln
20,Leipzig,Berlin
21,Muenster,Dortmund
22,Muenchen,Passau
23,Passau,Regen...
24,Saarb...,Trier
25,Trier,Aachen
26,Stutt...,Ulm
27,Erfurt,Wuerz...
28,Wuerz...,Stutt...
29,Wuerz...,Augsburg
