,0,1
0,Aachen,Koeln
1,Nuern...,Bayreuth
2,Erfurt,Chemnitz
3,Essen,Dortmund
4,Essen,Duess...
5,Erfurt,Leipzig
6,Erfurt,Dresden
7,Karls...,Freiburg
8,Berlin,Greif...
9,Kaise...,Darms...
10,Karls...,Mannheim
11,Karls...,Kaise...
12,Karls...,Saarb...
13,Stutt...,Karls...
14,Dortmund,Kassel
15,Kassel,Erfurt
16,Konstanz,Kempten
17,Stutt...,Konstanz
18,Leipzig,Berlin
19,Mannheim,Darms...
20,Dortmund,Muenster
21,Olden...,Norden
22,Olden...,Wesel
23,Regen...,Passau
24,Nuern...,Regen...
25,Dortmund,Siegen
26,Aachen,Trier
27,Trier,Koblenz
28,Stutt...,Ulm
29,Wesel,Essen
30,Wesel,Aachen
31,Erfurt,Wuerz...
32,Wuerz...,Stutt...
33,Wuerz...,Nuern...
