,0,1
0,Bayreuth,Chemnitz
1,Nuern...,Bayreuth
2,Braun...,Magde...
3,Hamburg,Braun...
4,Braun...,Hamburg
5,Hannover,Braun...
6,Flens...,Breme...
7,Frank...,Darms...
8,Kiel,Flens...
9,Frank...,Koblenz
10,Konstanz,Freiburg
11,Kassel,Fulda
12,Fulda,Frank...
13,Kassel,Giessen
14,Schwerin,Greif...
15,Hamburg,Schwerin
16,Darms...,Kaise...
17,Braun...,Kassel
18,Konstanz,Kempten
19,Hamburg,Kiel
20,Koblenz,Koeln
21,Koeln,Duess...
22,Stutt...,Konstanz
23,Darms...,Mannheim
24,Osnab...,Hannover
25,Regen...,Passau
26,Nuern...,Regen...
27,Trier,Saarb...
28,Trier,Aachen
29,Koblenz,Trier
30,Fulda,Wuerz...
31,Wuerz...,Stutt...
32,Wuerz...,Nuern...
