,0,1
0,Muenchen,Augsburg
1,Nuern...,Bayreuth
2,Erfurt,Chemnitz
3,Dresden,Berlin
4,Leipzig,Dresden
5,Dresden,Leipzig
6,Erfurt,Dresden
7,Kiel,Flens...
8,Karls...,Freiburg
9,Kassel,Giessen
10,Berlin,Greif...
11,Karls...,Mannheim
12,Saarb...,Karls...
13,Karls...,Stutt...
14,Kassel,Dortmund
15,Erfurt,Kassel
16,Muenchen,Kempten
17,Schwerin,Kiel
18,Stutt...,Konstanz
19,Leipzig,Magde...
20,Dortmund,Muenster
21,Nuern...,Muenchen
22,Muenchen,Passau
23,Nuern...,Regen...
24,Berlin,Schwerin
25,Stutt...,Ulm
26,Wuerz...,Erfurt
27,Wuerz...,Fulda
28,Stutt...,Wuerz...
29,Wuerz...,Nuern...
