,0,1
0,Nuern...,Bayreuth
1,Hannover,Biele...
2,Braun...,Magde...
3,Braun...,Hamburg
4,Braun...,Hannover
5,Bremen,Breme...
6,Erfurt,Chemnitz
7,Frank...,Darms...
8,Dortmund,Essen
9,Essen,Duess...
10,Erfurt,Leipzig
11,Erfurt,Dresden
12,Kiel,Flens...
13,Fulda,Kassel
14,Fulda,Frank...
15,Fulda,Giessen
16,Schwerin,Greif...
17,Hamburg,Schwerin
18,Hannover,Bremen
19,Kassel,Dortmund
20,Erfurt,Kassel
21,Kassel,Braun...
22,Hamburg,Kiel
23,Duess...,Koeln
24,Dortmund,Muenster
25,Wesel,Norden
26,Bremen,Olden...
27,Hannover,Osnab...
28,Regen...,Muenchen
29,Regen...,Passau
30,Nuern...,Regen...
31,Schwerin,Berlin
32,Dortmund,Siegen
33,Siegen,Koblenz
34,Aachen,Trier
35,Essen,Wesel
36,Wesel,Aachen
37,Wuerz...,Erfurt
38,Wuerz...,Fulda
39,Stutt...,Wuerz...
40,Wuerz...,Augsburg
41,Wuerz...,Nuern...
