,0,1
0,Augsburg,Muenchen
1,Nuern...,Bayreuth
2,Biele...,Muenster
3,Siegen,Biele...
4,Biele...,Hannover
5,Hannover,Braun...
6,Bremen,Breme...
7,Erfurt,Chemnitz
8,Frank...,Darms...
9,Dortmund,Essen
10,Erfurt,Leipzig
11,Erfurt,Dresden
12,Kiel,Flens...
13,Koblenz,Frank...
14,Konstanz,Freiburg
15,Frank...,Fulda
16,Frank...,Giessen
17,Schwerin,Greif...
18,Hamburg,Schwerin
19,Hannover,Hamburg
20,Hannover,Bremen
21,Koblenz,Kaise...
22,Erfurt,Kassel
23,Muenchen,Kempten
24,Hamburg,Kiel
25,Koblenz,Koeln
26,Koeln,Duess...
27,Stutt...,Konstanz
28,Schwerin,Magde...
29,Darms...,Mannheim
30,Olden...,Norden
31,Nuern...,Muenchen
32,Bremen,Olden...
33,Hannover,Osnab...
34,Muenchen,Passau
35,Nuern...,Regen...
36,Schwerin,Berlin
37,Siegen,Dortmund
38,Koblenz,Siegen
39,Trier,Koblenz
40,Stutt...,Ulm
41,Wuerz...,Erfurt
42,Fulda,Wuerz...
43,Wuerz...,Stutt...
44,Wuerz...,Augsburg
45,Wuerz...,Nuern...
