,0,1
0,Nuern...,Bayreuth
1,Braun...,Magde...
2,Braun...,Hamburg
3,Braun...,Hannover
4,Braun...,Biele...
5,Bremen,Breme...
6,Flens...,Breme...
7,Breme...,Flens...
8,Erfurt,Chemnitz
9,Frank...,Darms...
10,Dortmund,Essen
11,Essen,Duess...
12,Erfurt,Leipzig
13,Erfurt,Dresden
14,Kiel,Flens...
15,Frank...,Koblenz
16,Karls...,Freiburg
17,Fulda,Kassel
18,Fulda,Frank...
19,Kassel,Giessen
20,Schwerin,Greif...
21,Hamburg,Schwerin
22,Hannover,Hamburg
23,Hannover,Bremen
24,Koblenz,Kaise...
25,Karls...,Mannheim
26,Karls...,Saarb...
27,Stutt...,Karls...
28,Kassel,Dortmund
29,Kassel,Braun...
30,Konstanz,Kempten
31,Hamburg,Kiel
32,Koblenz,Koeln
33,Stutt...,Konstanz
34,Dortmund,Muenster
35,Wesel,Norden
36,Bremen,Olden...
37,Osnab...,Olden...
38,Hannover,Osnab...
39,Regen...,Passau
40,Nuern...,Regen...
41,Schwerin,Berlin
42,Dortmund,Siegen
43,Koblenz,Trier
44,Ulm,Stutt...
45,Essen,Wesel
46,Wesel,Aachen
47,Wuerz...,Erfurt
48,Wuerz...,Fulda
49,Stutt...,Wuerz...
50,Wuerz...,Nuern...
