,0,1
0,Nuern...,Bayreuth
1,Braun...,Magde...
2,Braun...,Hamburg
3,Braun...,Hannover
4,Braun...,Biele...
5,Bremen,Breme...
6,Flens...,Breme...
7,Erfurt,Chemnitz
8,Frank...,Darms...
9,Dortmund,Essen
10,Essen,Duess...
11,Erfurt,Leipzig
12,Erfurt,Dresden
13,Kiel,Flens...
14,Kassel,Giessen
15,Giessen,Frank...
16,Berlin,Greif...
17,Greif...,Berlin
18,Schwerin,Greif...
19,Hamburg,Schwerin
20,Hannover,Bremen
21,Koblenz,Kaise...
22,Kassel,Dortmund
23,Erfurt,Kassel
24,Kassel,Braun...
25,Schwerin,Kiel
26,Hamburg,Kiel
27,Duess...,Koeln
28,Dortmund,Muenster
29,Wesel,Norden
30,Wesel,Olden...
31,Hannover,Osnab...
32,Regen...,Passau
33,Nuern...,Regen...
34,Trier,Saarb...
35,Schwerin,Berlin
36,Dortmund,Siegen
37,Siegen,Koblenz
38,Aachen,Trier
39,Essen,Wesel
40,Wesel,Aachen
41,Wuerz...,Erfurt
42,Wuerz...,Nuern...
