,Tree Type,Threads,Solver,|V|,|E|,|T|,Num Nodes,Max Len,runtime,root,Bound,Network,Max degree,Min degree,Avg degree,Density
0,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0831849575043,NewOr...,154,us-ca,5,2,3.128205128205128,0.08232118758434548
1,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0358588695526,Cinci...,188,us-ca,5,2,3.128205128205128,0.08232118758434548
2,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.2241041660309,Oklah...,175,us-ca,5,2,3.128205128205128,0.08232118758434548
3,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0276200771332,Charl...,183,us-ca,5,2,3.128205128205128,0.08232118758434548
4,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0332081317902,Calgary,189,us-ca,5,2,3.128205128205128,0.08232118758434548
5,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0764088630676,Phoenix,535,us-ca,5,2,3.128205128205128,0.08232118758434548
6,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.101730108261,LosAn...,1052,us-ca,5,2,3.128205128205128,0.08232118758434548
7,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0433099269867,Miami,212,us-ca,5,2,3.128205128205128,0.08232118758434548
8,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0745298862457,Boston,1084,us-ca,5,2,3.128205128205128,0.08232118758434548
9,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.037239074707,Memphis,92,us-ca,5,2,3.128205128205128,0.08232118758434548
10,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.090831041336,Toronto,318,us-ca,5,2,3.128205128205128,0.08232118758434548
11,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0524289608002,SanDiego,1048,us-ca,5,2,3.128205128205128,0.08232118758434548
12,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0244069099426,Portland,540,us-ca,5,2,3.128205128205128,0.08232118758434548
13,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.7868530750275,Vanco...,320,us-ca,5,2,3.128205128205128,0.08232118758434548
14,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0803890228271,India...,131,us-ca,5,2,3.128205128205128,0.08232118758434548
15,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.1745870113373,Winnipeg,138,us-ca,5,2,3.128205128205128,0.08232118758434548
16,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0448169708252,Montreal,575,us-ca,5,2,3.128205128205128,0.08232118758434548
17,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.1317439079285,NewYork,571,us-ca,5,2,3.128205128205128,0.08232118758434548
18,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.069669008255,Pitts...,533,us-ca,5,2,3.128205128205128,0.08232118758434548
19,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.1830790042877,SaltL...,281,us-ca,5,2,3.128205128205128,0.08232118758434548
20,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.2939178943634,Cleve...,317,us-ca,5,2,3.128205128205128,0.08232118758434548
21,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0455889701843,Denver,167,us-ca,5,2,3.128205128205128,0.08232118758434548
22,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0489690303802,SanFr...,1053,us-ca,5,2,3.128205128205128,0.08232118758434548
23,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0442581176758,Atlanta,190,us-ca,5,2,3.128205128205128,0.08232118758434548
24,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0280179977417,ElPaso,287,us-ca,5,2,3.128205128205128,0.08232118758434548
25,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0518760681152,Sacra...,540,us-ca,5,2,3.128205128205128,0.08232118758434548
26,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0324881076813,StLouis,101,us-ca,5,2,3.128205128205128,0.08232118758434548
27,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.6798920631409,Houston,207,us-ca,5,2,3.128205128205128,0.08232118758434548
28,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.5273740291595,Tampa,320,us-ca,5,2,3.128205128205128,0.08232118758434548
29,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0542168617249,Chicago,128,us-ca,5,2,3.128205128205128,0.08232118758434548
30,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.1790509223938,Minne...,123,us-ca,5,2,3.128205128205128,0.08232118758434548
31,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0453820228577,LasVegas,537,us-ca,5,2,3.128205128205128,0.08232118758434548
32,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0284700393677,Kansa...,115,us-ca,5,2,3.128205128205128,0.08232118758434548
33,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0188028812408,Washi...,303,us-ca,5,2,3.128205128205128,0.08232118758434548
34,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.073390007019,Phila...,547,us-ca,5,2,3.128205128205128,0.08232118758434548
35,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.1230399608612,Dallas,164,us-ca,5,2,3.128205128205128,0.08232118758434548
36,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0506610870361,Nashv...,128,us-ca,5,2,3.128205128205128,0.08232118758434548
37,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0905690193176,Seattle,571,us-ca,5,2,3.128205128205128,0.08232118758434548
38,symmetric,None,Gurobi,39,122,6,unbounded,20,1200.0581238269806,Detroit,193,us-ca,5,2,3.128205128205128,0.08232118758434548
39,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.1115210056305,Kiel,310,germany,5,2,3.52,0.07183673469387755
40,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0610489845276,Olden...,551,germany,5,2,3.52,0.07183673469387755
41,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.034320116043,Norden,562,germany,5,2,3.52,0.07183673469387755
42,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0690410137177,Leipzig,141,germany,5,2,3.52,0.07183673469387755
43,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.2847650051117,Regen...,321,germany,5,2,3.52,0.07183673469387755
44,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.1509130001068,Karls...,232,germany,5,2,3.52,0.07183673469387755
45,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0779280662537,Ulm,321,germany,5,2,3.52,0.07183673469387755
46,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.047122001648,Kaise...,221,germany,5,2,3.52,0.07183673469387755
47,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.05446600914,Dortmund,126,germany,5,2,3.52,0.07183673469387755
48,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0353500843048,Siegen,136,germany,5,2,3.52,0.07183673469387755
49,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0382759571075,Breme...,562,germany,5,2,3.52,0.07183673469387755
50,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0661399364471,Chemnitz,144,germany,5,2,3.52,0.07183673469387755
51,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0570077896118,Magde...,143,germany,5,2,3.52,0.07183673469387755
52,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0189080238342,Wuerz...,126,germany,5,2,3.52,0.07183673469387755
53,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.033774137497,Trier,228,germany,5,2,3.52,0.07183673469387755
54,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0115611553192,Osnab...,302,germany,5,2,3.52,0.07183673469387755
55,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0094649791718,Essen,191,germany,5,2,3.52,0.07183673469387755
56,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0871391296387,Giessen,118,germany,5,2,3.52,0.07183673469387755
57,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.093080997467,Erfurt,105,germany,5,2,3.52,0.07183673469387755
58,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0517718791962,Bremen,312,germany,5,2,3.52,0.07183673469387755
59,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0646369457245,Wesel,306,germany,5,2,3.52,0.07183673469387755
60,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0183598995209,Koeln,234,germany,5,2,3.52,0.07183673469387755
61,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0237081050873,Nuern...,194,germany,5,2,3.52,0.07183673469387755
62,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0317130088806,Kassel,97,germany,5,2,3.52,0.07183673469387755
63,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.037204027176,Kempten,574,germany,5,2,3.52,0.07183673469387755
64,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.1960709095001,Saarb...,265,germany,5,2,3.52,0.07183673469387755
65,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.030522108078,Aachen,354,germany,5,2,3.52,0.07183673469387755
