Network,Threads,Solver,|V|,|E|,|T|,Num Nodes,Max Len,runtime,root,Bound,,,,Max,Min
abilene,None,Gurobi,12,15,6,unbounded,20,0.167713881,IPLSng,13,,,abilene,37,12
abilene,None,Gurobi,12,15,6,unbounded,20,2.226427078,LOSAng,15,,,cost226,276,74
abilene,None,Gurobi,12,15,6,unbounded,20,3.326191902,WASHng,20,,,eu,270,55
abilene,None,Gurobi,12,15,6,unbounded,20,99.55399084,DNVRng,23,,,france,51,27
abilene,None,Gurobi,12,15,6,unbounded,20,600.0353281,NYCMng,37,,,geant,50,22
abilene,None,Gurobi,12,15,6,unbounded,20,2.921872854,CHINng,18,,,germany,575,97
abilene,None,Gurobi,12,15,6,unbounded,20,2.174130201,KSCYng,15,,,india,147,34
abilene,None,Gurobi,12,15,6,unbounded,20,0.060580015,ATLAng,12,,,ny,16,15
abilene,None,Gurobi,12,15,6,unbounded,20,1.447906017,HSTNng,13,,,atlanta,37,14
abilene,None,Gurobi,12,15,6,unbounded,20,600.059469,ATLAM5,34,,,us-ca,1084,154
abilene,None,Gurobi,12,15,6,unbounded,20,3.94287014,SNVAng,24,,,,,
abilene,None,Gurobi,12,15,6,unbounded,20,138.8700769,STTLng,30,,,,,
atlanta,None,Gurobi,15,22,6,unbounded,20,2.698532104,N6,14,,,,,
atlanta,None,Gurobi,15,22,6,unbounded,20,600.3239791,N1,17,,,,,
atlanta,None,Gurobi,15,22,6,unbounded,20,600.041851,N15,35,,,,,
atlanta,None,Gurobi,15,22,6,unbounded,20,600.042856,N14,28,,,,,
atlanta,None,Gurobi,15,22,6,unbounded,20,600.0145359,N2,27,,,,,
atlanta,None,Gurobi,15,22,6,unbounded,20,600.033211,N3,26,,,,,
atlanta,None,Gurobi,15,22,6,unbounded,20,600.0279889,N4,36,,,,,
atlanta,None,Gurobi,15,22,6,unbounded,20,2.879832029,N9,15,,,,,
atlanta,None,Gurobi,15,22,6,unbounded,20,600.043608,N7,22,,,,,
atlanta,None,Gurobi,15,22,6,unbounded,20,600.0096662,N13,26,,,,,
atlanta,None,Gurobi,15,22,6,unbounded,20,600.007117,N10,28,,,,,
atlanta,None,Gurobi,15,22,6,unbounded,20,600.008786,N8,23,,,,,
atlanta,None,Gurobi,15,22,6,unbounded,20,600.010637,N12,37,,,,,
atlanta,None,Gurobi,15,22,6,unbounded,20,600.0176899,N5,32,,,,,
atlanta,None,Gurobi,15,22,6,unbounded,20,600.0156789,N11,37,,,,,
cost226,None,Gurobi,37,57,6,unbounded,20,600.0182021,Zurich,86,,,,,
cost226,None,Gurobi,37,57,6,unbounded,20,600.02758,Palermo,138,,,,,
cost226,None,Gurobi,37,57,6,unbounded,20,600.017036,Oslo,195,,,,,
cost226,None,Gurobi,37,57,6,unbounded,20,600.04052,Seville,186,,,,,
cost226,None,Gurobi,37,57,6,unbounded,20,600.0734191,Rome,91,,,,,
cost226,None,Gurobi,37,57,6,unbounded,20,600.0621641,Hamburg,87,,,,,
cost226,None,Gurobi,37,57,6,unbounded,20,600.0690401,Lyon,111,,,,,
cost226,None,Gurobi,37,57,6,unbounded,20,600.017642,Madrid,181,,,,,
