,0,1
0,N25,N5
1,N35,N8
2,N30,N9
3,N30,N10
4,N10,N2
5,N23,N13
6,N13,N62
7,N59,N15
8,N13,N16
9,N64,N18
10,N45,N19
11,N58,N21
12,N25,N61
13,N27,N49
14,N27,N17
15,N30,N29
16,N55,N34
17,N34,N64
18,N35,N12
19,N35,N11
20,N50,N36
21,N25,N38
22,N40,N7
23,N40,N50
24,N13,N40
25,N40,N30
26,N45,N42
27,N43,N1
28,N13,N43
29,N45,N47
30,N61,N48
31,N49,N26
32,N52,N3
33,N30,N52
34,N2,N54
35,N52,N55
36,N55,N51
37,N30,N58
38,N58,N20
39,N59,N45
40,N59,N4
41,N59,N57
42,N59,N35
43,N59,N60
44,N63,N25
45,N63,N27
46,N63,N33
47,N63,N6
48,N30,N63
49,N63,N59
