,0,1
0,Atlanta,NewOr...
1,NewOr...,Houston
2,SaltL...,Calgary
3,Portland,Seattle
4,Memphis,Dallas
5,Toronto,Montreal
6,Detroit,Toronto
7,SanDiego,LosAn...
8,Montreal,Boston
9,SaltL...,Sacra...
10,Calgary,Vanco...
11,SaltL...,LasVegas
12,NewOr...,Miami
13,SaltL...,Portland
14,Portland,SanFr...
15,Memphis,StLouis
16,Denver,Kansa...
17,Chicago,Minne...
18,LosAn...,SanDiego
19,StLouis,Chicago
20,NewOr...,Memphis
21,Denver,SaltL...
22,LasVegas,LosAn...
23,Calgary,Winnipeg
24,Dallas,Denver
25,Chicago,Detroit
26,Dallas,Oklah...
