,0,1
0,Charl...,Nashv...
1,Dallas,ElPaso
2,SaltL...,Calgary
3,Portland,Seattle
4,Memphis,Dallas
5,Toronto,Montreal
6,Detroit,Toronto
7,SanDiego,LosAn...
8,SaltL...,Sacra...
9,Calgary,Vanco...
10,SaltL...,Portland
11,Portland,SanFr...
12,Charl...,Tampa
13,Memphis,StLouis
14,Dallas,Houston
15,Tampa,Miami
16,Denver,Kansa...
17,ElPaso,Phoenix
18,StLouis,Chicago
19,Charl...,Atlanta
20,Kansa...,Minne...
21,Nashv...,Memphis
22,Denver,SaltL...
23,Calgary,Winnipeg
24,Dallas,Denver
25,Chicago,Detroit
26,Cleve...,Cinci...
27,Dallas,Oklah...
28,Detroit,Cleve...
29,Phoenix,SanDiego
