,0,1
0,Minne...,Winnipeg
1,Calgary,SaltL...
2,Boston,Montreal
3,SanFr...,Portland
4,Washi...,Charl...
5,SaltL...,Sacra...
6,NewYork,Boston
7,Calgary,Vanco...
8,SaltL...,LasVegas
9,Sacra...,SanFr...
10,SaltL...,Portland
11,Portland,SanFr...
12,Vanco...,Seattle
13,Charl...,Tampa
14,Chicago,Minne...
15,Winnipeg,Calgary
16,Pitts...,Washi...
17,LosAn...,SanDiego
18,NewYork,Phila...
19,LasVegas,LosAn...
20,Chicago,Detroit
21,Minne...,Kansa...
22,Cleve...,Cinci...
23,Cleve...,NewYork
24,Detroit,Cleve...
25,Cleve...,Pitts...
