,0,1
0,Minne...,Winnipeg
1,LosAn...,SanFr...
2,Cinci...,India...
3,Phila...,Washi...
4,Calgary,SaltL...
5,Boston,Montreal
6,Dallas,ElPaso
7,NewOr...,Houston
8,Portland,Seattle
9,Memphis,Dallas
10,LasVegas,Phoenix
11,Toronto,Montreal
12,StLouis,Memphis
13,Kansa...,Denver
14,Detroit,Toronto
15,India...,StLouis
16,Calgary,Vanco...
17,SaltL...,LasVegas
18,NewOr...,Miami
19,SaltL...,Portland
20,Portland,SanFr...
21,SanFr...,LosAn...
22,Vanco...,Seattle
23,Memphis,Nashv...
24,India...,Chicago
25,StLouis,Kansa...
26,Chicago,Minne...
27,Winnipeg,Calgary
28,Atlanta,Tampa
29,Seattle,Vanco...
30,ElPaso,Phoenix
31,Charl...,Washi...
32,LasVegas,Sacra...
33,Chicago,Detroit
34,Dallas,Oklah...
35,Memphis,NewOr...
36,Phoenix,SanDiego
37,NewOr...,Atlanta
