,0,1
0,Chicago,StLouis
1,Dallas,ElPaso
2,SaltL...,Calgary
3,Portland,Seattle
4,Memphis,Dallas
5,Kansa...,Oklah...
6,Nashv...,Charl...
7,Toronto,Montreal
8,StLouis,Memphis
9,Kansa...,Denver
10,Detroit,Toronto
11,Montreal,Boston
12,SaltL...,Sacra...
13,Miami,Tampa
14,Calgary,Vanco...
15,SaltL...,LasVegas
16,NewOr...,Miami
17,SaltL...,Portland
18,Portland,SanFr...
19,Atlanta,Charl...
20,ElPaso,Houston
21,Memphis,Nashv...
22,StLouis,Kansa...
23,Atlanta,Tampa
24,Cleve...,Detroit
25,ElPaso,Phoenix
26,Charl...,Washi...
27,Kansa...,Minne...
28,Detroit,Chicago
29,Denver,SaltL...
30,LasVegas,LosAn...
31,Calgary,Winnipeg
32,Memphis,NewOr...
33,StLouis,India...
34,Phoenix,SanDiego
35,NewOr...,Atlanta
