,0,1
0,Chicago,StLouis
1,Dallas,ElPaso
2,SaltL...,Calgary
3,Portland,Seattle
4,Memphis,Dallas
5,Kansa...,Oklah...
6,StLouis,Memphis
7,Washi...,Phila...
8,Kansa...,Denver
9,SaltL...,Sacra...
10,Calgary,Vanco...
11,SaltL...,LasVegas
12,NewOr...,Miami
13,SaltL...,Portland
14,Portland,SanFr...
15,Atlanta,Charl...
16,Memphis,Nashv...
17,Dallas,Houston
18,StLouis,Kansa...
19,Chicago,Minne...
20,Chicago,India...
21,Atlanta,Tampa
22,ElPaso,Phoenix
23,Charl...,Washi...
24,Detroit,Chicago
25,Denver,SaltL...
26,LasVegas,LosAn...
27,Calgary,Winnipeg
28,Dallas,Denver
29,Memphis,NewOr...
30,Phoenix,SanDiego
31,NewOr...,Atlanta
