,0,1
0,Nashv...,India...
1,Dallas,ElPaso
2,Montreal,Toronto
3,SaltL...,Calgary
4,Portland,Seattle
5,Memphis,Dallas
6,Toronto,Montreal
7,Detroit,Toronto
8,Montreal,Boston
9,SaltL...,Sacra...
10,NewYork,Boston
11,Calgary,Vanco...
12,SaltL...,LasVegas
13,SaltL...,Portland
14,Portland,SanFr...
15,Memphis,Nashv...
16,Dallas,Houston
17,Cleve...,Detroit
18,ElPaso,Phoenix
19,Toronto,Detroit
20,Boston,NewYork
21,Denver,SaltL...
22,LasVegas,LosAn...
23,Calgary,Winnipeg
24,Dallas,Denver
25,Dallas,Oklah...
26,NewYork,Toronto
27,Phoenix,SanDiego
