,0,1
0,SaltL...,Calgary
1,Portland,Seattle
2,Memphis,Dallas
3,Toronto,Montreal
4,Detroit,Toronto
5,Montreal,Boston
6,SaltL...,Sacra...
7,Calgary,Vanco...
8,SaltL...,LasVegas
9,SaltL...,Portland
10,Portland,SanFr...
11,Memphis,Nashv...
12,Memphis,StLouis
13,StLouis,Kansa...
14,Chicago,Minne...
15,Chicago,India...
16,Miami,NewOr...
17,LosAn...,SanDiego
18,StLouis,Chicago
19,India...,Cinci...
20,NewOr...,Memphis
21,Denver,SaltL...
22,LasVegas,LosAn...
23,Calgary,Winnipeg
24,Dallas,Denver
25,Chicago,Detroit
26,Dallas,Oklah...
27,Detroit,Cleve...
