,0,1
0,Charl...,Nashv...
1,Nashv...,India...
2,Phila...,Washi...
3,Dallas,ElPaso
4,SaltL...,Calgary
5,Portland,Seattle
6,Memphis,Dallas
7,Washi...,Charl...
8,SanDiego,LosAn...
9,Calgary,Vanco...
10,SanFr...,Sacra...
11,SaltL...,Portland
12,Portland,SanFr...
13,Charl...,Tampa
14,India...,Chicago
15,Tampa,Miami
16,Denver,Kansa...
17,ElPaso,Phoenix
18,Kansa...,Minne...
19,India...,Cinci...
20,Nashv...,Memphis
21,Denver,SaltL...
22,Calgary,Winnipeg
23,Dallas,Denver
24,Chicago,Detroit
25,Dallas,Oklah...
26,Phoenix,SanDiego
