,0,1
0,Boston,Montreal
1,SaltL...,Calgary
2,Winnipeg,Minne...
3,Portland,Seattle
4,Phoenix,ElPaso
5,Washi...,Phila...
6,Phila...,NewYork
7,NewYork,Cleve...
8,SaltL...,Denver
9,SaltL...,Sacra...
10,NewYork,Boston
11,Calgary,Vanco...
12,NewOr...,Miami
13,SaltL...,Portland
14,Washi...,Pitts...
15,Portland,SanFr...
16,LasVegas,SaltL...
17,Atlanta,Charl...
18,ElPaso,Houston
19,Denver,Kansa...
20,Atlanta,Tampa
21,Phoenix,LasVegas
22,Charl...,Washi...
23,Houston,NewOr...
24,LasVegas,LosAn...
25,Calgary,Winnipeg
26,Cleve...,Cinci...
27,NewOr...,Atlanta
