,0,1
0,Minne...,Winnipeg
1,Kansa...,StLouis
2,Phila...,Washi...
3,NewOr...,Houston
4,Portland,Seattle
5,Phoenix,ElPaso
6,SanFr...,Portland
7,Kansa...,Oklah...
8,LasVegas,Phoenix
9,Toronto,Montreal
10,StLouis,Memphis
11,Detroit,Toronto
12,SaltL...,Denver
13,NewYork,Boston
14,SaltL...,LasVegas
15,Portland,SaltL...
16,NewOr...,Miami
17,Denver,Kansa...
18,Chicago,Minne...
19,Atlanta,Tampa
20,Seattle,Vanco...
21,StLouis,Chicago
22,NewYork,Phila...
23,Toronto,NewYork
24,Chicago,Detroit
25,Memphis,NewOr...
26,Phoenix,SanDiego
27,NewOr...,Atlanta
