,0,1
0,Boston,Montreal
1,SaltL...,Calgary
2,Portland,Seattle
3,Kansa...,Oklah...
4,Toronto,Montreal
5,Kansa...,Denver
6,Washi...,Charl...
7,NewYork,Boston
8,Calgary,Vanco...
9,SaltL...,LasVegas
10,SaltL...,Portland
11,Portland,SanFr...
12,Charl...,Tampa
13,Cinci...,Cleve...
14,StLouis,Kansa...
15,Pitts...,Washi...
16,LosAn...,SanDiego
17,StLouis,Chicago
18,Toronto,Detroit
19,India...,Cinci...
20,NewYork,Phila...
21,Denver,SaltL...
22,LasVegas,LosAn...
23,LasVegas,Sacra...
24,Calgary,Winnipeg
25,Chicago,Detroit
26,Cleve...,Cinci...
27,Cleve...,NewYork
28,Detroit,Cleve...
29,StLouis,India...
30,Cleve...,Pitts...
