,0,1
0,Chicago,StLouis
1,Dallas,ElPaso
2,NewOr...,Houston
3,SaltL...,Calgary
4,Portland,Seattle
5,Memphis,Dallas
6,Nashv...,Charl...
7,Toronto,Montreal
8,StLouis,Memphis
9,Kansa...,Denver
10,SaltL...,Sacra...
11,Calgary,Vanco...
12,SaltL...,LasVegas
13,NewOr...,Miami
14,SaltL...,Portland
15,Washi...,Pitts...
16,Portland,SanFr...
17,Charl...,Tampa
18,Memphis,Nashv...
19,StLouis,Kansa...
20,Chicago,Minne...
21,Chicago,India...
22,ElPaso,Phoenix
23,Charl...,Washi...
24,Toronto,Detroit
25,India...,Cinci...
26,Detroit,Chicago
27,Denver,SaltL...
28,LasVegas,LosAn...
29,Calgary,Winnipeg
30,Dallas,Oklah...
31,Memphis,NewOr...
32,Phoenix,SanDiego
33,NewOr...,Atlanta
