,0,1
0,Chicago,StLouis
1,Minne...,Chicago
2,Dallas,ElPaso
3,NewOr...,Houston
4,Winnipeg,Minne...
5,Memphis,Dallas
6,Nashv...,Charl...
7,Toronto,Montreal
8,StLouis,Memphis
9,Detroit,Toronto
10,NewYork,Boston
11,NewOr...,Miami
12,Atlanta,Charl...
13,Charl...,Tampa
14,Chicago,India...
15,Atlanta,Tampa
16,Nashv...,Atlanta
17,ElPaso,Phoenix
18,Charl...,Washi...
19,India...,Cinci...
20,India...,Nashv...
21,NewYork,Phila...
22,Dallas,Denver
23,Chicago,Detroit
24,Minne...,Kansa...
25,Dallas,Oklah...
26,Memphis,NewOr...
27,Cleve...,NewYork
28,Detroit,Cleve...
29,Phoenix,SanDiego
30,Cleve...,Pitts...
