,0,1
0,Warsaw,Helsinki
1,Zagreb,Rome
2,Berlin,Copen...
3,Barce...,Seville
4,Rome,Marse...
5,Berlin,Munich
6,Warsaw,Krakow
7,Munich,Frank...
8,Munich,Milan
9,Copen...,Oslo
10,Amste...,Hamburg
11,Milan,Rome
12,Zagreb,Athens
13,Prague,Budapest
14,Marse...,Barce...
15,Frank...,Dusse...
16,Hamburg,Berlin
17,Glasgow,Dublin
18,Berlin,Warsaw
19,Marse...,Bordeaux
20,Milan,Zurich
21,Vienna,Zagreb
22,Munich,Vienna
23,Glasgow,Birmi...
24,Zurich,Lyon
25,Copen...,Stock...
26,Budapest,Belgrade
27,Belgrade,Sofia
28,Zurich,Stras...
29,Amste...,Glasgow
30,Berlin,Prague
31,Rome,Palermo
