,0,1
0,Paris,Bordeaux
1,Seville,Barce...
2,Warsaw,Helsinki
3,Berlin,Copen...
4,London,Lisbon
5,Rome,Marse...
6,Berlin,Munich
7,Warsaw,Krakow
8,Lisbon,Seville
9,Brussels,Dusse...
10,Munich,Milan
11,London,Paris
12,Paris,Brussels
13,Copen...,Oslo
14,Amste...,Hamburg
15,Milan,Rome
16,Hamburg,Frank...
17,Zagreb,Athens
18,Prague,Budapest
19,Glasgow,Amste...
20,Frank...,Dusse...
21,Lisbon,Madrid
22,Hamburg,Berlin
23,Glasgow,Dublin
24,Berlin,Warsaw
25,Milan,Zurich
26,Vienna,Zagreb
27,Paris,Stras...
28,Amste...,London
29,Munich,Vienna
30,Paris,Lyon
31,Glasgow,Birmi...
32,Copen...,Stock...
33,Budapest,Belgrade
34,Belgrade,Sofia
35,Berlin,Prague
36,Rome,Palermo
