,0,1
0,London,Birmi...
1,London,Lisbon
2,Rome,Marse...
3,Berlin,Munich
4,Lisbon,Seville
5,Munich,Milan
6,London,Paris
7,Prague,Vienna
8,Oslo,Helsinki
9,Milan,Rome
10,Hamburg,Frank...
11,Frank...,Stras...
12,Berlin,Hamburg
13,Prague,Budapest
14,Marse...,Barce...
15,Frank...,Dusse...
16,Lisbon,Madrid
17,Sofia,Athens
18,Rome,Zagreb
19,Copen...,Berlin
20,Berlin,Warsaw
21,Marse...,Bordeaux
22,Amste...,London
23,Paris,Lyon
24,London,Dublin
25,Budapest,Belgrade
26,Belgrade,Sofia
27,Berlin,Prague
28,Hamburg,Amste...
29,Budapest,Krakow
30,Oslo,Copen...
