,0,1
0,Amste...,Brussels
1,London,Birmi...
2,London,Lisbon
3,Rome,Marse...
4,Palermo,Athens
5,Berlin,Munich
6,Lisbon,Seville
7,Munich,Frank...
8,Munich,Milan
9,London,Paris
10,Prague,Vienna
11,Copen...,Oslo
12,Marse...,Lyon
13,Milan,Rome
14,Stock...,Copen...
15,Frank...,Stras...
16,Berlin,Hamburg
17,Zagreb,Athens
18,Prague,Budapest
19,Marse...,Barce...
20,Frank...,Dusse...
21,Lisbon,Madrid
22,Rome,Zagreb
23,Copen...,Berlin
24,Berlin,Warsaw
25,Marse...,Bordeaux
26,Milan,Zurich
27,Amste...,London
28,London,Dublin
29,Budapest,Belgrade
30,Belgrade,Sofia
31,Amste...,Glasgow
32,Berlin,Prague
33,Rome,Palermo
34,Hamburg,Amste...
35,Budapest,Krakow
