,0,1
0,Amste...,Brussels
1,Paris,Bordeaux
2,Berlin,Copen...
3,Belgrade,Zagreb
4,Madrid,Barce...
5,London,Birmi...
6,London,Lisbon
7,Krakow,Budapest
8,Warsaw,Krakow
9,Lisbon,Seville
10,Brussels,Dusse...
11,London,Paris
12,Prague,Vienna
13,Copen...,Oslo
14,Berlin,Hamburg
15,Prague,Budapest
16,Lisbon,Madrid
17,Sofia,Athens
18,Lyon,Zurich
19,Warsaw,Berlin
20,Paris,Stras...
21,Amste...,London
22,Paris,Lyon
23,London,Dublin
24,Copen...,Stock...
25,Budapest,Belgrade
26,Belgrade,Sofia
27,Amste...,Glasgow
28,Berlin,Prague
29,Hamburg,Amste...
