,0,1
0,Amste...,Glasgow
1,Hamburg,Amste...
2,Amste...,London
3,Athens,Sofia
4,Zagreb,Athens
5,Seville,Barce...
6,Budapest,Belgrade
7,Belgrade,Sofia
8,Zagreb,Belgrade
9,Belgrade,Zagreb
10,Berlin,Copen...
11,Munich,Berlin
12,Berlin,Warsaw
13,London,Birmi...
14,Krakow,Budapest
15,Copen...,Oslo
16,Copen...,Stock...
17,London,Dublin
18,Dusse...,Frank...
19,Frank...,Hamburg
20,Frank...,Munich
21,Frank...,Stras...
22,Warsaw,Helsinki
23,Warsaw,Krakow
24,London,Lisbon
25,Lisbon,Madrid
26,Lisbon,Seville
27,Munich,Vienna
28,Vienna,Prague
29,Vienna,Zagreb
