,0,1
0,Amste...,Brussels
1,Glasgow,Amste...
2,Amste...,Hamburg
3,Palermo,Athens
4,Athens,Palermo
5,Athens,Sofia
6,Zagreb,Athens
7,Marse...,Barce...
8,Barce...,Seville
9,Budapest,Belgrade
10,Belgrade,Sofia
11,Berlin,Copen...
12,Hamburg,Berlin
13,Berlin,Munich
14,Berlin,Prague
15,Berlin,Warsaw
16,Marse...,Bordeaux
17,Budapest,Krakow
18,Prague,Budapest
19,Copen...,Oslo
20,Copen...,Stock...
21,Frank...,Dusse...
22,Munich,Frank...
23,Warsaw,Helsinki
24,Zurich,Lyon
25,Rome,Marse...
26,Munich,Milan
27,Milan,Rome
28,Milan,Zurich
29,Rome,Palermo
30,Prague,Vienna
31,Rome,Zagreb
32,Zurich,Stras...
33,Vienna,Zagreb
