,0,1
0,Amste...,Brussels
1,Amste...,Glasgow
2,Hamburg,Amste...
3,Amste...,London
4,Zagreb,Athens
5,Marse...,Barce...
6,Belgrade,Budapest
7,Belgrade,Sofia
8,Zagreb,Belgrade
9,Berlin,Copen...
10,Berlin,Hamburg
11,Berlin,Munich
12,Warsaw,Berlin
13,London,Birmi...
14,Marse...,Bordeaux
15,Prague,Budapest
16,London,Dublin
17,Frank...,Dusse...
18,Munich,Frank...
19,Frank...,Stras...
20,Helsinki,Warsaw
21,Warsaw,Krakow
22,London,Lisbon
23,Lisbon,Madrid
24,Lisbon,Seville
25,London,Paris
26,Marse...,Lyon
27,Rome,Marse...
28,Munich,Milan
29,Milan,Rome
30,Milan,Zurich
31,Munich,Vienna
32,Rome,Palermo
33,Vienna,Prague
34,Vienna,Zagreb
