,0,1
0,Amste...,Brussels
1,Amste...,Glasgow
2,Hamburg,Amste...
3,Amste...,London
4,Zagreb,Athens
5,Marse...,Barce...
6,Budapest,Belgrade
7,Belgrade,Budapest
8,Belgrade,Sofia
9,Zagreb,Belgrade
10,Copen...,Berlin
11,Berlin,Hamburg
12,Berlin,Munich
13,Berlin,Prague
14,Berlin,Warsaw
15,London,Birmi...
16,Marse...,Bordeaux
17,Prague,Budapest
18,Oslo,Copen...
19,Copen...,Stock...
20,London,Dublin
21,Frank...,Dusse...
22,Hamburg,Frank...
23,Frank...,Stras...
24,Warsaw,Krakow
25,London,Lisbon
26,Lisbon,Madrid
27,Lisbon,Seville
28,London,Paris
29,Marse...,Lyon
30,Rome,Marse...
31,Munich,Milan
32,Milan,Rome
33,Milan,Zurich
34,Munich,Vienna
35,Rome,Palermo
36,Rome,Zagreb
37,Vienna,Zagreb
