,0,1
0,Amste...,Brussels
1,Amste...,Glasgow
2,Hamburg,Amste...
3,Amste...,London
4,Palermo,Athens
5,Marse...,Barce...
6,Budapest,Belgrade
7,Belgrade,Sofia
8,Copen...,Berlin
9,Berlin,Hamburg
10,Berlin,Munich
11,Berlin,Prague
12,Berlin,Warsaw
13,London,Birmi...
14,Marse...,Bordeaux
15,Krakow,Budapest
16,Budapest,Krakow
17,Prague,Budapest
18,Copen...,Oslo
19,Stock...,Copen...
20,London,Dublin
21,Frank...,Dusse...
22,Munich,Frank...
23,Frank...,Stras...
24,London,Lisbon
25,Lisbon,Madrid
26,Lisbon,Seville
27,London,Paris
28,Marse...,Lyon
29,Rome,Marse...
30,Munich,Milan
31,Milan,Rome
32,Milan,Zurich
33,Rome,Palermo
34,Prague,Vienna
35,Rome,Zagreb
