,0,1
0,Essen,Duess...
1,Bayreuth,Leipzig
2,Fulda,Kassel
3,Wuerz...,Fulda
4,Braun...,Hamburg
5,Nuern...,Regen...
6,Frank...,Darms...
7,Bremen,Olden...
8,Dortmund,Siegen
9,Dortmund,Essen
10,Giessen,Kassel
11,Hannover,Bremen
12,Kiel,Flens...
13,Frank...,Koblenz
14,Koblenz,Kaise...
15,Wesel,Norden
16,Magde...,Berlin
17,Fulda,Frank...
18,Berlin,Greif...
19,Braun...,Magde...
20,Koblenz,Trier
21,Dortmund,Muenster
22,Essen,Wesel
23,Wesel,Aachen
24,Fulda,Giessen
25,Regen...,Passau
26,Augsburg,Wuerz...
27,Braun...,Hannover
28,Kaise...,Saarb...
29,Kaise...,Karls...
30,Kassel,Braun...
31,Koblenz,Koeln
32,Kassel,Dortmund
33,Wuerz...,Nuern...
34,Hannover,Osnab...
35,Darms...,Mannheim
36,Nuern...,Bayreuth
37,Karls...,Freiburg
38,Bremen,Breme...
39,Hamburg,Kiel
