,0,1
0,Olden...,Norden
1,Fulda,Wuerz...
2,Kassel,Giessen
3,Karls...,Saarb...
4,Nuern...,Regen...
5,Bremen,Olden...
6,Erfurt,Chemnitz
7,Stutt...,Ulm
8,Erfurt,Wuerz...
9,Hannover,Bremen
10,Saarb...,Trier
11,Stutt...,Konstanz
12,Berlin,Greif...
13,Karls...,Kaise...
14,Konstanz,Freiburg
15,Wesel,Aachen
16,Kassel,Erfurt
17,Regen...,Passau
18,Breme...,Flens...
19,Braun...,Kassel
20,Erfurt,Dresden
21,Braun...,Hannover
22,Stutt...,Karls...
23,Wuerz...,Stutt...
24,Karls...,Mannheim
25,Wuerz...,Nuern...
26,Konstanz,Kempten
27,Olden...,Osnab...
28,Dresden,Berlin
29,Mannheim,Darms...
30,Bremen,Breme...
31,Olden...,Wesel
