,0,1
0,Schwerin,Kiel
1,Braun...,Biele...
2,Bayreuth,Chemnitz
3,Breme...,Bremen
4,Biele...,Siegen
5,Magde...,Schwerin
6,Nuern...,Regen...
7,Siegen,Giessen
8,Trier,Saarb...
9,Nuern...,Muenchen
10,Koblenz,Kaise...
11,Magde...,Berlin
12,Hannover,Braun...
13,Trier,Aachen
14,Muenchen,Kempten
15,Berlin,Greif...
16,Braun...,Magde...
17,Koblenz,Trier
18,Bremen,Hannover
19,Koeln,Duess...
20,Siegen,Koblenz
21,Biele...,Muenster
22,Regen...,Passau
23,Leipzig,Dresden
24,Leipzig,Bayreuth
25,Bayreuth,Nuern...
26,Kaise...,Karls...
27,Kaise...,Darms...
28,Koblenz,Koeln
29,Chemnitz,Erfurt
30,Hannover,Osnab...
31,Schwerin,Greif...
32,Darms...,Mannheim
33,Karls...,Freiburg
34,Magde...,Leipzig
