,0,1
0,Muenchen,Passau
1,Essen,Duess...
2,Fulda,Wuerz...
3,Kassel,Giessen
4,Karls...,Saarb...
5,Frank...,Darms...
6,Dortmund,Essen
7,Augsburg,Ulm
8,Wesel,Olden...
9,Wesel,Norden
10,Kassel,Fulda
11,Aachen,Trier
12,Duess...,Koeln
13,Muenchen,Kempten
14,Fulda,Frank...
15,Dortmund,Kassel
16,Olden...,Bremen
17,Essen,Wesel
18,Wesel,Aachen
19,Muenchen,Augsburg
20,Wuerz...,Augsburg
21,Stutt...,Karls...
22,Wuerz...,Stutt...
23,Karls...,Mannheim
24,Augsburg,Muenchen
25,Olden...,Osnab...
26,Karls...,Freiburg
27,Bremen,Breme...
