,0,1
0,Muenchen,Passau
1,Essen,Duess...
2,Braun...,Biele...
3,Norden,Olden...
4,Biele...,Siegen
5,Kassel,Giessen
6,Braun...,Hamburg
7,Siegen,Dortmund
8,Karls...,Saarb...
9,Dortmund,Essen
10,Stutt...,Ulm
11,Dresden,Erfurt
12,Erfurt,Wuerz...
13,Hannover,Bremen
14,Muenchen,Regen...
15,Saarb...,Trier
16,Nuern...,Muenchen
17,Wesel,Olden...
18,Muenster,Dortmund
19,Wesel,Norden
20,Stutt...,Konstanz
21,Duess...,Koeln
22,Muenchen,Kempten
23,Karls...,Kaise...
24,Braun...,Magde...
25,Dortmund,Muenster
26,Essen,Wesel
27,Wesel,Aachen
28,Erfurt,Kassel
29,Wesel,Essen
30,Wuerz...,Augsburg
31,Hamburg,Hannover
32,Breme...,Flens...
33,Braun...,Hannover
34,Magde...,Braun...
35,Stutt...,Karls...
36,Wuerz...,Stutt...
37,Kassel,Braun...
38,Kassel,Dortmund
39,Karls...,Mannheim
40,Wuerz...,Nuern...
41,Hannover,Osnab...
42,Nuern...,Bayreuth
43,Dresden,Berlin
44,Mannheim,Darms...
45,Karls...,Freiburg
46,Bremen,Breme...
47,Olden...,Wesel
