,0,1
0,Muenchen,Passau
1,Braun...,Biele...
2,Kassel,Giessen
3,Braun...,Hamburg
4,Karls...,Saarb...
5,Erfurt,Wuerz...
6,Augsburg,Ulm
7,Essen,Dortmund
8,Kiel,Flens...
9,Muenchen,Kempten
10,Duess...,Essen
11,Dortmund,Kassel
12,Braun...,Magde...
13,Flens...,Breme...
14,Kassel,Erfurt
15,Wuerz...,Augsburg
16,Schwerin,Berlin
17,Braun...,Hannover
18,Stutt...,Karls...
19,Wuerz...,Stutt...
20,Kassel,Braun...
21,Karls...,Mannheim
22,Augsburg,Muenchen
23,Schwerin,Greif...
24,Hamburg,Schwerin
25,Karls...,Freiburg
26,Hamburg,Kiel
