,0,1
0,Muenchen,Passau
1,Braun...,Biele...
2,Fulda,Wuerz...
3,Erfurt,Leipzig
4,Braun...,Hamburg
5,Muenster,Osnab...
6,Karls...,Saarb...
7,Frank...,Darms...
8,Dortmund,Siegen
9,Erfurt,Chemnitz
10,Stutt...,Ulm
11,Erfurt,Wuerz...
12,Essen,Dortmund
13,Hannover,Bremen
14,Kiel,Flens...
15,Muenchen,Regen...
16,Saarb...,Trier
17,Frank...,Koblenz
18,Nuern...,Muenchen
19,Stutt...,Konstanz
20,Kassel,Fulda
21,Muenchen,Kempten
22,Fulda,Frank...
23,Karls...,Kaise...
24,Dortmund,Kassel
25,Frank...,Giessen
26,Braun...,Magde...
27,Dortmund,Muenster
28,Kassel,Erfurt
29,Muenchen,Augsburg
30,Schwerin,Berlin
31,Erfurt,Dresden
32,Braun...,Hannover
33,Stutt...,Karls...
34,Wuerz...,Stutt...
35,Kassel,Braun...
36,Koblenz,Koeln
37,Karls...,Mannheim
38,Wuerz...,Nuern...
39,Schwerin,Greif...
40,Nuern...,Bayreuth
41,Hamburg,Schwerin
42,Karls...,Freiburg
43,Bremen,Breme...
44,Hamburg,Kiel
