,0,1
0,Muenchen,Passau
1,Braun...,Biele...
2,Fulda,Wuerz...
3,Kassel,Giessen
4,Karls...,Saarb...
5,Frank...,Darms...
6,Stutt...,Ulm
7,Frank...,Koblenz
8,Magde...,Berlin
9,Koblenz,Siegen
10,Kassel,Fulda
11,Trier,Aachen
12,Muenchen,Kempten
13,Fulda,Frank...
14,Berlin,Greif...
15,Karls...,Kaise...
16,Braun...,Magde...
17,Koblenz,Trier
18,Koeln,Duess...
19,Wuerz...,Augsburg
20,Braun...,Kassel
21,Stutt...,Karls...
22,Wuerz...,Stutt...
23,Koblenz,Koeln
24,Karls...,Mannheim
25,Hamburg,Braun...
26,Augsburg,Muenchen
27,Karls...,Freiburg
