,0,1
0,Muenchen,Passau
1,Fulda,Wuerz...
2,Kassel,Giessen
3,Kempten,Muenchen
4,Nuern...,Regen...
5,Frank...,Darms...
6,Muenchen,Regen...
7,Frank...,Koblenz
8,Nuern...,Muenchen
9,Koblenz,Kaise...
10,Stutt...,Konstanz
11,Magde...,Berlin
12,Koblenz,Siegen
13,Hannover,Braun...
14,Kassel,Fulda
15,Muenchen,Kempten
16,Fulda,Frank...
17,Berlin,Greif...
18,Konstanz,Freiburg
19,Braun...,Magde...
20,Koblenz,Trier
21,Regen...,Muenchen
22,Passau,Muenchen
23,Koeln,Duess...
24,Regen...,Passau
25,Braun...,Kassel
26,Kaise...,Saarb...
27,Wuerz...,Stutt...
28,Koblenz,Koeln
29,Koeln,Aachen
30,Wuerz...,Nuern...
31,Konstanz,Kempten
32,Darms...,Mannheim
33,Nuern...,Bayreuth
