,0,1
0,Muenchen,Passau
1,Braun...,Biele...
2,Olden...,Norden
3,Erfurt,Leipzig
4,Karls...,Saarb...
5,Nuern...,Regen...
6,Bremen,Olden...
7,Erfurt,Chemnitz
8,Stutt...,Ulm
9,Erfurt,Wuerz...
10,Hannover,Bremen
11,Saarb...,Trier
12,Nuern...,Muenchen
13,Stutt...,Konstanz
14,Magde...,Berlin
15,Trier,Aachen
16,Muenchen,Kempten
17,Berlin,Greif...
18,Karls...,Kaise...
19,Braun...,Magde...
20,Kaise...,Koblenz
21,Kassel,Erfurt
22,Breme...,Flens...
23,Erfurt,Dresden
24,Braun...,Hannover
25,Stutt...,Karls...
26,Wuerz...,Stutt...
27,Kassel,Braun...
28,Koblenz,Koeln
29,Karls...,Mannheim
30,Wuerz...,Nuern...
31,Hannover,Osnab...
32,Nuern...,Bayreuth
33,Mannheim,Darms...
34,Karls...,Freiburg
35,Bremen,Breme...
36,Leipzig,Berlin
