,0,1
0,Nuern...,Wuerz...
1,Essen,Duess...
2,Braun...,Biele...
3,Fulda,Kassel
4,Wuerz...,Fulda
5,Erfurt,Leipzig
6,Braun...,Hamburg
7,Regen...,Nuern...
8,Karls...,Saarb...
9,Frank...,Darms...
10,Bremen,Olden...
11,Dortmund,Siegen
12,Dortmund,Essen
13,Erfurt,Chemnitz
14,Stutt...,Ulm
15,Hannover,Bremen
16,Kiel,Flens...
17,Muenchen,Regen...
18,Stutt...,Wuerz...
19,Frank...,Koblenz
20,Wesel,Norden
21,Muenchen,Nuern...
22,Konstanz,Stutt...
23,Fulda,Frank...
24,Kempten,Konstanz
25,Karls...,Kaise...
26,Frank...,Giessen
27,Konstanz,Freiburg
28,Braun...,Magde...
29,Koblenz,Trier
30,Dortmund,Muenster
31,Essen,Wesel
32,Wesel,Aachen
33,Wuerz...,Augsburg
34,Leipzig,Bayreuth
35,Schwerin,Berlin
36,Erfurt,Dresden
37,Braun...,Hannover
38,Stutt...,Karls...
39,Kassel,Braun...
40,Koblenz,Koeln
41,Kassel,Dortmund
42,Karls...,Mannheim
43,Hannover,Osnab...
44,Schwerin,Greif...
45,Wuerz...,Erfurt
46,Hamburg,Schwerin
47,Bremen,Breme...
48,Hamburg,Kiel
