,0,1
0,Muenchen,Passau
1,Braun...,Biele...
2,Wuerz...,Fulda
3,Olden...,Norden
4,Braun...,Hamburg
5,Karls...,Saarb...
6,Frank...,Darms...
7,Bremen,Olden...
8,Stutt...,Ulm
9,Erfurt,Wuerz...
10,Hannover,Bremen
11,Muenchen,Regen...
12,Saarb...,Trier
13,Frank...,Koblenz
14,Stutt...,Konstanz
15,Trier,Aachen
16,Muenchen,Kempten
17,Fulda,Frank...
18,Karls...,Kaise...
19,Olden...,Bremen
20,Wuerz...,Augsburg
21,Breme...,Flens...
22,Braun...,Hannover
23,Magde...,Braun...
24,Stutt...,Karls...
25,Wuerz...,Stutt...
26,Koblenz,Koeln
27,Karls...,Mannheim
28,Leipzig,Magde...
29,Wuerz...,Nuern...
30,Leipzig,Erfurt
31,Hannover,Osnab...
32,Augsburg,Muenchen
33,Karls...,Freiburg
34,Bremen,Breme...
