,0,1
0,Muenchen,Passau
1,Essen,Duess...
2,Braun...,Biele...
3,Fulda,Kassel
4,Fulda,Wuerz...
5,Erfurt,Leipzig
6,Braun...,Hamburg
7,Bremen,Olden...
8,Dortmund,Siegen
9,Dortmund,Essen
10,Erfurt,Chemnitz
11,Augsburg,Ulm
12,Hannover,Bremen
13,Kiel,Flens...
14,Muenchen,Regen...
15,Frank...,Koblenz
16,Nuern...,Muenchen
17,Wesel,Norden
18,Aachen,Trier
19,Duess...,Koeln
20,Muenchen,Kempten
21,Kempten,Konstanz
22,Frank...,Giessen
23,Konstanz,Freiburg
24,Braun...,Magde...
25,Dortmund,Muenster
26,Essen,Wesel
27,Wesel,Aachen
28,Kassel,Erfurt
29,Muenchen,Augsburg
30,Aachen,Wesel
31,Schwerin,Berlin
32,Erfurt,Dresden
33,Braun...,Hannover
34,Darms...,Frank...
35,Kassel,Braun...
36,Kassel,Dortmund
37,Wuerz...,Nuern...
38,Hannover,Osnab...
39,Frank...,Fulda
40,Schwerin,Greif...
41,Nuern...,Bayreuth
42,Hamburg,Schwerin
43,Mannheim,Darms...
44,Bremen,Breme...
45,Hamburg,Kiel
