,0,1
0,Fulda,Wuerz...
1,Braun...,Hamburg
2,Nuern...,Regen...
3,Frank...,Darms...
4,Stutt...,Ulm
5,Trier,Saarb...
6,Kiel,Flens...
7,Frank...,Koblenz
8,Muenster,Dortmund
9,Stutt...,Konstanz
10,Kassel,Fulda
11,Trier,Aachen
12,Fulda,Frank...
13,Dortmund,Kassel
14,Frank...,Giessen
15,Konstanz,Freiburg
16,Braun...,Magde...
17,Koblenz,Trier
18,Flens...,Breme...
19,Koeln,Duess...
20,Regen...,Passau
21,Schwerin,Berlin
22,Wuerz...,Stutt...
23,Kassel,Braun...
24,Koblenz,Koeln
25,Wuerz...,Nuern...
26,Konstanz,Kempten
27,Schwerin,Greif...
28,Darms...,Mannheim
29,Nuern...,Bayreuth
30,Hamburg,Schwerin
31,Darms...,Kaise...
32,Hamburg,Kiel
