,0,1
0,Nuern...,Wuerz...
1,Essen,Duess...
2,Fulda,Kassel
3,Wuerz...,Fulda
4,Erfurt,Leipzig
5,Braun...,Hamburg
6,Karls...,Saarb...
7,Nuern...,Regen...
8,Frank...,Darms...
9,Dortmund,Siegen
10,Dortmund,Essen
11,Erfurt,Chemnitz
12,Stutt...,Ulm
13,Hannover,Bremen
14,Kiel,Flens...
15,Frank...,Koblenz
16,Wesel,Olden...
17,Wesel,Norden
18,Stutt...,Konstanz
19,Hannover,Biele...
20,Fulda,Frank...
21,Karls...,Kaise...
22,Braun...,Magde...
23,Koblenz,Trier
24,Dortmund,Muenster
25,Essen,Wesel
26,Wesel,Aachen
27,Fulda,Giessen
28,Kassel,Erfurt
29,Regen...,Passau
30,Wuerz...,Augsburg
31,Schwerin,Berlin
32,Erfurt,Dresden
33,Braun...,Hannover
34,Stutt...,Karls...
35,Wuerz...,Stutt...
36,Kassel,Braun...
37,Koblenz,Koeln
38,Kassel,Dortmund
39,Karls...,Mannheim
40,Hannover,Osnab...
41,Konstanz,Kempten
42,Schwerin,Greif...
43,Hamburg,Schwerin
44,Karls...,Freiburg
45,Bremen,Breme...
46,Hamburg,Kiel
