,0,1
0,Muenchen,Passau
1,Essen,Duess...
2,Karls...,Saarb...
3,Frank...,Darms...
4,Dortmund,Essen
5,Stutt...,Ulm
6,Dresden,Erfurt
7,Erfurt,Wuerz...
8,Muenchen,Regen...
9,Saarb...,Trier
10,Wesel,Norden
11,Stutt...,Konstanz
12,Kassel,Fulda
13,Duess...,Koeln
14,Muenchen,Kempten
15,Fulda,Frank...
16,Karls...,Kaise...
17,Essen,Wesel
18,Wesel,Aachen
19,Erfurt,Kassel
20,Wuerz...,Augsburg
21,Schwerin,Berlin
22,Stutt...,Karls...
23,Wuerz...,Stutt...
24,Kassel,Dortmund
25,Karls...,Mannheim
26,Augsburg,Muenchen
27,Mannheim,Darms...
28,Karls...,Freiburg
29,Dresden,Chemnitz
30,Berlin,Dresden
