,0,1
0,Olden...,Norden
1,Siegen,Biele...
2,Fulda,Wuerz...
3,Erfurt,Leipzig
4,Karls...,Saarb...
5,Biele...,Hannover
6,Nuern...,Regen...
7,Bremen,Olden...
8,Siegen,Giessen
9,Erfurt,Chemnitz
10,Stutt...,Ulm
11,Hannover,Bremen
12,Stutt...,Konstanz
13,Hannover,Hamburg
14,Giessen,Fulda
15,Konstanz,Freiburg
16,Wesel,Aachen
17,Wesel,Essen
18,Regen...,Passau
19,Breme...,Flens...
20,Erfurt,Dresden
21,Stutt...,Karls...
22,Wuerz...,Stutt...
23,Karls...,Mannheim
24,Wuerz...,Nuern...
25,Hannover,Osnab...
26,Konstanz,Kempten
27,Schwerin,Greif...
28,Wuerz...,Erfurt
29,Nuern...,Bayreuth
30,Hamburg,Schwerin
31,Bremen,Breme...
32,Olden...,Wesel
