,0,1
0,Essen,Duess...
1,Braun...,Biele...
2,Wuerz...,Fulda
3,Schwerin,Magde...
4,Erfurt,Leipzig
5,Kassel,Giessen
6,Braun...,Hamburg
7,Nuern...,Regen...
8,Frank...,Darms...
9,Bremen,Olden...
10,Dortmund,Siegen
11,Dortmund,Essen
12,Erfurt,Chemnitz
13,Hannover,Bremen
14,Kiel,Flens...
15,Stutt...,Wuerz...
16,Wesel,Norden
17,Aachen,Koeln
18,Aachen,Trier
19,Duess...,Koeln
20,Dortmund,Muenster
21,Essen,Wesel
22,Wesel,Aachen
23,Erfurt,Kassel
24,Siegen,Koblenz
25,Regen...,Passau
26,Schwerin,Berlin
27,Erfurt,Dresden
28,Braun...,Hannover
29,Kassel,Braun...
30,Kassel,Dortmund
31,Wuerz...,Nuern...
32,Hannover,Osnab...
33,Schwerin,Greif...
34,Giessen,Frank...
35,Wuerz...,Erfurt
36,Nuern...,Bayreuth
37,Hamburg,Schwerin
38,Bremen,Breme...
39,Hamburg,Kiel
