,0,1
0,Muenchen,Passau
1,Essen,Duess...
2,Schwerin,Kiel
3,Erfurt,Leipzig
4,Karls...,Saarb...
5,Dortmund,Siegen
6,Erfurt,Chemnitz
7,Stutt...,Ulm
8,Erfurt,Wuerz...
9,Essen,Dortmund
10,Kiel,Flens...
11,Muenchen,Regen...
12,Saarb...,Trier
13,Stutt...,Konstanz
14,Duess...,Koeln
15,Muenchen,Kempten
16,Berlin,Greif...
17,Karls...,Kaise...
18,Dortmund,Kassel
19,Wesel,Essen
20,Kassel,Erfurt
21,Wuerz...,Augsburg
22,Leipzig,Bayreuth
23,Erfurt,Dresden
24,Stutt...,Karls...
25,Wuerz...,Stutt...
26,Karls...,Mannheim
27,Berlin,Schwerin
28,Augsburg,Muenchen
29,Mannheim,Darms...
30,Karls...,Freiburg
31,Leipzig,Berlin
