,0,1
0,Essen,Duess...
1,Braun...,Biele...
2,Chemnitz,Bayreuth
3,Erfurt,Leipzig
4,Kassel,Giessen
5,Braun...,Hamburg
6,Frank...,Darms...
7,Dortmund,Siegen
8,Dortmund,Essen
9,Erfurt,Chemnitz
10,Hannover,Bremen
11,Kiel,Flens...
12,Wesel,Olden...
13,Wesel,Norden
14,Aachen,Trier
15,Duess...,Koeln
16,Braun...,Magde...
17,Dortmund,Muenster
18,Essen,Wesel
19,Wesel,Aachen
20,Erfurt,Kassel
21,Flens...,Breme...
22,Koeln,Koblenz
23,Schwerin,Berlin
24,Erfurt,Dresden
25,Braun...,Hannover
26,Kassel,Braun...
27,Kassel,Dortmund
28,Hannover,Osnab...
29,Schwerin,Greif...
30,Giessen,Frank...
31,Wuerz...,Erfurt
32,Hamburg,Schwerin
33,Bremen,Breme...
34,Hamburg,Kiel
