,0,1
0,Leipzig,Bayreuth
1,Braun...,Magde...
2,Braun...,Hamburg
3,Braun...,Hannover
4,Braun...,Biele...
5,Bremen,Breme...
6,Erfurt,Chemnitz
7,Frank...,Darms...
8,Dortmund,Essen
9,Essen,Duess...
10,Erfurt,Leipzig
11,Erfurt,Dresden
12,Kiel,Flens...
13,Kassel,Giessen
14,Giessen,Frank...
15,Schwerin,Greif...
16,Hamburg,Schwerin
17,Hannover,Bremen
18,Kassel,Dortmund
19,Erfurt,Kassel
20,Kassel,Braun...
21,Hamburg,Kiel
22,Duess...,Koeln
23,Dortmund,Muenster
24,Wesel,Norden
25,Olden...,Norden
26,Wesel,Olden...
27,Bremen,Olden...
28,Hannover,Osnab...
29,Schwerin,Berlin
30,Dortmund,Siegen
31,Siegen,Koblenz
32,Aachen,Trier
33,Trier,Aachen
34,Essen,Wesel
35,Wesel,Aachen
36,Wuerz...,Erfurt
37,Wuerz...,Fulda
38,Augsburg,Wuerz...
