,0,1
0,Bayreuth,Chemnitz
1,Siegen,Biele...
2,Braun...,Magde...
3,Braun...,Hamburg
4,Braun...,Hannover
5,Bremen,Breme...
6,Chemnitz,Dresden
7,Chemnitz,Erfurt
8,Dortmund,Essen
9,Essen,Duess...
10,Dresden,Erfurt
11,Kiel,Flens...
12,Karls...,Freiburg
13,Kassel,Giessen
14,Giessen,Frank...
15,Schwerin,Greif...
16,Hamburg,Schwerin
17,Hannover,Bremen
18,Koblenz,Kaise...
19,Kaise...,Darms...
20,Kaise...,Karls...
21,Kassel,Dortmund
22,Erfurt,Kassel
23,Kassel,Braun...
24,Hamburg,Kiel
25,Koblenz,Koeln
26,Darms...,Mannheim
27,Dortmund,Muenster
28,Wesel,Norden
29,Wesel,Olden...
30,Hannover,Osnab...
31,Trier,Saarb...
32,Schwerin,Berlin
33,Dortmund,Siegen
34,Siegen,Koblenz
35,Koblenz,Trier
36,Essen,Wesel
37,Wesel,Aachen
